건설	#설계#도시구축#도시디자인
건축	#도시구축#도시설비
자동차	
기계관리	#관리자#중기계#제어
토목	#건축#구조물#도시안전
항공	#비행기#항공관측
금속가공	#제조#철강
전기	#제어#에너지#발전
제어계측	#측정#시스템 설계
경영	#CEO#사장#운영
금융·회계·세무	#회계사#세무사#컨설턴트
무역·유통	#통관#수입품
사무	
보건	#가정#보건교육
유아교육	
복지	#사회복지사#봉사활동
시스템 연구	#시스템 설계#시스템 구축
신소재	#신물질#연구#발명
재료	
응용연구	#탐구#연구
화학	
방송	#피디#PD#작가#연출#감독
컴퓨터(IT)	
소프트웨어	#프로그래머#개발
하드웨어	#엔지니어#설비
정보보안	#해킹#방어#보안전문가
로봇	
네트워크	#인터넷
유비쿼터스	#아두이노#IoT#센서
게임개발	
디자인	
뷰티아트	#메이크업#화장#외모
영상	#편집#합성#촬영
만화	#웹툰#애니
게임 일러스트	#일러스트레이터#게임그래픽
의상	#의상디자이너#수선
생활디자인	#환경#가구
컴퓨터디자인	#앱디자인#게임그래픽#CG
관광	#스튜어디스#바리스타#호텔
외국어	#통역
서비스	#마케팅#문화
요리	
음악	
의료장비	
환경	#에너지#에코#재활용
체육	
